,car_name,sub_name,quentity
0,A6,40 TDI,"4,923"
1,A6,45 TFSI,"2,483"
2,A6,45 TFSI quattro,"2,144"
3,A6,40 TDI quattro,"1,102"
4,A6,45 TDI quattro,840
5,A6,50 TDI quattro,80
6,A6,S6 TDI,40
7,A6,S6 TDI,40
8,Q3,35 TDI,"1,423"
9,Q3,Sportback 35 TDI,736
10,Q3,Sportback 35 TDI,736
11,A7,55 TFSI quattro,"1,206"
12,A7,50 TDI quattro,700
13,A7,45 TDI quattro,148
14,A7,S7 TDI,93
15,A7,S7 TDI,93
16,Q5,45 TFSI quattro,987
17,Q5,40 TDI quattro,757
18,Q5,50 TDI quattro,132
19,Q5,SQ5 TDI,131
20,Q5,SQ5 TDI,131
21,A4,40 TFSI,"1,251"
22,A4,35 TDI,18
23,A4,40 TDI quattro,11
24,A4,40 TDI quattro,11
25,Q7,45 TDI quattro,900
26,Q7,50 TDI quattro,190
27,Q7,50 TDI quattro,190
28,Q8,50 TDI quattro,572
29,Q8,45 TDI quattro,285
30,Q8,SQ8 TDI,139
31,Q8,SQ8 TDI,139
32,A3,40 TFSI,796
33,A3,40 TFSI,796
34,A4,40 TFSI,529
35,A4,35 TDI,145
36,A4,40 TDI quattro,21
37,A4,40 TDI quattro,21
38,A5,Sportback 45 TFSI quattro,571
39,A5,Coupe 45 TFSI quattro,57
40,A5,Sportback 40 TDI quattro,25
41,A5,Cabriolet 45 TFSI quattro,16
42,A5,Cabriolet 45 TFSI quattro,16
43,e-tron,55 quattro,601
44,e-tron,55 quattro,601
45,A5,Sportback 45 TFSI quattro,344
46,A5,Sportback 40 TDI quattro,189
47,A5,Cabriolet 45 TFSI quattro,29
48,A5,Coupe 45 TFSI quattro,29
49,A5,Coupe 45 TFSI quattro,29
50,A8,L 55 TFSI quattro,265
51,A8,L 50 TDI quattro,171
52,A8,50 TDI quattro,55
53,A8,S8 L TFSI,34
54,A8,L 60 TFSI quattro,14
55,A8,L 60 TFSI quattro,14
56,Q2,35 TDI,329
57,Q2,35 TDI,329
58,Q7,45 TFSI quattro,2
59,Q7,45 TFSI quattro,2
